
================================================================================
ANALYSIS SUMMARY
================================================================================

Overall: 693 cases, 90 faster >1%, 276 slower >1%, 327 wash (±1%), avg +0.98%

Per-benchmark averages:
  bench_gemm                  -2.48%  (23/25 faster)   ← clear winner
  bench_gemm_double           +0.20%  (wash)
  bench_gemv                  +1.01%  (mostly regression)
  bench_vecadd                +0.32%  (wash)
  bench_reductions            +0.62%  (mixed)
  bench_fixed_size            +0.98%  (slight regression)
  bench_fixed_size_double     +1.18%  (slight regression)
  bench_trsm                  +2.33%  (worst avg — TRSV especially bad)
  bench_trmv                  +1.75%  (float Upper consistently bad)
  bench_triangular_product    +1.03%  (regression)
  bench_selfadjoint_product   +0.76%  (wash)
  bench_dot                   +1.27%  (noisy, outliers both ways)
  bench_block_ops             +1.74%  (mostly regression)

Notable wins:
  BM_EigenGemm/192/192/192              -8.53%
  BM_EigenGemm/160/160/160              -8.45%
  TRMV_float_Lower/512                  -8.46%
  VectorNorm_double/65536              -14.01%
  VectorMinCoeff_float/4096             -7.59%
  VectorMinCoeff_float/262144           -7.43%
  VectorProd_float/262144               -7.48%
  VectorSum_float/262144                -6.57%

Notable regressions:
  BlockRead_float/512/64               +78.29%  (likely noise/cache artifact)
  VectorLpNormInf_double/1048576       +20.62%
  TRMV_float_UnitUpper/1024            +18.89%
  TRSV_float_Lower/512                 +18.78%
  TRMV_float_Upper/1024                +18.51%
  TRSV_float_Lower/128                 +17.61%
  Dot_double/65536                     +15.78%
  Dot_cfloat/1048576                   +15.76%
  TRMV_double_UnitUpper/2048           +15.63%
  VectorLpNormInf_double/65536         +11.47%
  TRSV_float_Lower/32                  +11.15%
  TRMV_float_UnitUpper/64              +11.20%

Pattern: __builtin_assume helps float GEMM consistently (compiler better exploits
alignment/size hints for the GEBP kernel) but hurts triangular solvers (TRSV/TRMV
Upper) and large-vector reductions significantly. The hints appear to misguide
vectorization decisions for upper-triangular traversal patterns and large strided
reductions where the compiler's default heuristics were better.



benchmark                       case                                                       baseline      assume     delta
bench_gemv                      GemvTrans_float/256/1                                           7.4         7.4    -0.02%  
bench_gemv                      GemvTrans_float/256/16                                         70.5        71.1    +0.91%  
bench_gemv                      GemvTrans_float/32/32                                          38.2        37.6    -1.53% ▼
bench_gemv                      GemvTrans_float/512/512                                      7348.0      7566.8    +2.98% ▲
bench_gemv                      GemvTrans_float/8/8                                             9.6         9.9    +2.57% ▲
bench_gemv                      Gemv_cfloat/1/1024                                            695.1       706.1    +1.59% ▲
bench_gemv                      Gemv_cfloat/1/256                                             170.3       173.3    +1.78% ▲
bench_gemv                      Gemv_cfloat/1024/1                                            148.8       149.8    +0.66%  
bench_gemv                      Gemv_cfloat/1024/1024                                       90079.4     90206.9    +0.14%  
bench_gemv                      Gemv_cfloat/1024/16                                          1234.6      1258.9    +1.97% ▲
bench_gemv                      Gemv_cfloat/128/128                                          1238.0      1266.1    +2.27% ▲
bench_gemv                      Gemv_cfloat/16/1024                                          1350.9      1372.6    +1.60% ▲
bench_gemv                      Gemv_cfloat/16/256                                            338.2       345.3    +2.09% ▲
bench_gemv                      Gemv_cfloat/256/1                                              38.4        38.5    +0.25%  
bench_gemv                      Gemv_cfloat/256/16                                            307.5       309.3    +0.59%  
bench_gemv                      Gemv_cfloat/32/32                                              77.9        79.7    +2.29% ▲
bench_gemv                      Gemv_cfloat/512/512                                         24002.7     24899.1    +3.73% ▲
bench_gemv                      Gemv_cfloat/8/8                                                 9.6         9.7    +1.14% ▲
bench_gemv                      Gemv_double/1/1024                                            815.5       816.8    +0.15%  
bench_gemv                      Gemv_double/1/256                                             162.0       162.3    +0.17%  
bench_gemv                      Gemv_double/1024/1                                             62.9        63.5    +0.96%  
bench_gemv                      Gemv_double/1024/1024                                       92398.6     95268.6    +3.11% ▲
bench_gemv                      Gemv_double/1024/16                                          1005.7      1008.7    +0.30%  
bench_gemv                      Gemv_double/128/128                                           888.4       899.8    +1.28% ▲
bench_gemv                      Gemv_double/16/1024                                           704.6       706.4    +0.26%  
bench_gemv                      Gemv_double/16/256                                            172.5       171.4    -0.65%  
bench_gemv                      Gemv_double/256/1                                              18.5        18.8    +1.89% ▲
bench_gemv                      Gemv_double/256/16                                            127.6       129.2    +1.24% ▲
bench_gemv                      Gemv_double/32/32                                              33.9        34.0    +0.47%  
bench_gemv                      Gemv_double/512/512                                         20986.6     21975.7    +4.71% ▲
bench_gemv                      Gemv_double/8/8                                                 6.7         6.6    -1.64% ▼
bench_gemv                      Gemv_float/1/1024                                             817.7       816.4    -0.16%  
bench_gemv                      Gemv_float/1/256                                              163.2       163.3    +0.03%  
bench_gemv                      Gemv_float/1024/1                                              32.9        33.2    +0.95%  
bench_gemv                      Gemv_float/1024/1024                                        39439.3     40003.8    +1.43% ▲
bench_gemv                      Gemv_float/1024/16                                            404.5       407.6    +0.77%  
bench_gemv                      Gemv_float/128/128                                            327.6       334.4    +2.06% ▲
bench_gemv                      Gemv_float/16/1024                                            488.2       487.2    -0.22%  
bench_gemv                      Gemv_float/16/256                                             118.5       118.5    -0.04%  
bench_gemv                      Gemv_float/256/1                                               11.0        11.0    +0.25%  
bench_gemv                      Gemv_float/256/16                                              65.3        65.0    -0.52%  
bench_gemv                      Gemv_float/32/32                                               21.8        22.5    +3.32% ▲
bench_gemv                      Gemv_float/512/512                                           7762.7      7992.6    +2.96% ▲
bench_gemv                      Gemv_float/8/8                                                  6.2         6.2    +0.19%  

bench_vecadd                    BM_MatAdd/128                                                 627.3       628.9    +0.25%  
bench_vecadd                    BM_MatAdd/16                                                    6.9         7.0    +0.56%  
bench_vecadd                    BM_MatAdd/256                                                2138.8      2119.6    -0.89%  
bench_vecadd                    BM_MatAdd/32                                                   27.7        28.2    +1.60% ▲
bench_vecadd                    BM_MatAdd/512                                               16517.0     16543.6    +0.16%  
bench_vecadd                    BM_MatAdd/64                                                  111.2       111.3    +0.08%  
bench_vecadd                    BM_MatAdd/8                                                     3.4         3.5    +1.47% ▲
bench_vecadd                    BM_VecAdd/1024                                                 28.5        28.8    +0.80%  
bench_vecadd                    BM_VecAdd/1048576                                           63872.9     64543.7    +1.05% ▲
bench_vecadd                    BM_VecAdd/16384                                               670.0       671.7    +0.26%  
bench_vecadd                    BM_VecAdd/256                                                   8.5         8.4    -0.57%  
bench_vecadd                    BM_VecAdd/262144                                            16722.1     16601.3    -0.72%  
bench_vecadd                    BM_VecAdd/4096                                                112.2       113.7    +1.27% ▲
bench_vecadd                    BM_VecAdd/64                                                    3.3         3.3    -0.92%  
bench_vecadd                    BM_VecAdd/65536                                              2280.9      2291.4    +0.46%  

bench_reductions                MatrixNorm_double/1024                                      67735.2     70479.9    +4.05% ▲
bench_reductions                MatrixNorm_double/128                                         725.1       727.9    +0.38%  
bench_reductions                MatrixNorm_double/256                                        2783.3      2792.4    +0.33%  
bench_reductions                MatrixNorm_double/32                                           42.8        43.2    +0.97%  
bench_reductions                MatrixNorm_double/512                                       16645.8     17006.1    +2.16% ▲
bench_reductions                MatrixNorm_double/64                                          171.1       172.3    +0.68%  
bench_reductions                MatrixNorm_double/8                                             3.1         3.1    +0.27%  
bench_reductions                MatrixNorm_float/1024                                       36758.9     37450.7    +1.88% ▲
bench_reductions                MatrixNorm_float/128                                          364.4       367.4    +0.83%  
bench_reductions                MatrixNorm_float/256                                         1455.9      1475.0    +1.32% ▲
bench_reductions                MatrixNorm_float/32                                            22.0        21.0    -4.59% ▼
bench_reductions                MatrixNorm_float/512                                         6893.7      7424.3    +7.70% ▲
bench_reductions                MatrixNorm_float/64                                            86.4        88.2    +2.04% ▲
bench_reductions                MatrixNorm_float/8                                              2.0         2.0    -2.65% ▼
bench_reductions                MatrixSum_double/1024                                       64291.9     69068.9    +7.43% ▲
bench_reductions                MatrixSum_double/128                                          651.6       685.3    +5.18% ▲
bench_reductions                MatrixSum_double/256                                         2623.1      2714.8    +3.50% ▲
bench_reductions                MatrixSum_double/32                                            31.8        32.3    +1.61% ▲
bench_reductions                MatrixSum_double/512                                        16318.9     16718.2    +2.45% ▲
bench_reductions                MatrixSum_double/64                                           151.6       152.7    +0.69%  
bench_reductions                MatrixSum_double/8                                              1.9         2.0    +1.45% ▲
bench_reductions                MatrixSum_float/1024                                        37214.6     37025.9    -0.51%  
bench_reductions                MatrixSum_float/128                                           337.8       341.1    +0.99%  
bench_reductions                MatrixSum_float/256                                          1381.5      1386.4    +0.35%  
bench_reductions                MatrixSum_float/32                                             14.9        15.1    +0.95%  
bench_reductions                MatrixSum_float/512                                          6906.3      6701.1    -2.97% ▼
bench_reductions                MatrixSum_float/64                                             70.5        71.6    +1.47% ▲
bench_reductions                MatrixSum_float/8                                               1.2         1.3    +1.44% ▲
bench_reductions                VectorLpNorm1_double/1024                                      37.1        36.7    -1.04% ▼
bench_reductions                VectorLpNorm1_double/1048576                                63875.1     67973.2    +6.42% ▲
bench_reductions                VectorLpNorm1_double/16384                                    723.0       723.4    +0.05%  
bench_reductions                VectorLpNorm1_double/256                                        8.2         8.3    +0.50%  
bench_reductions                VectorLpNorm1_double/262144                                 16405.3     16641.1    +1.44% ▲
bench_reductions                VectorLpNorm1_double/4096                                     163.7       161.9    -1.07% ▼
bench_reductions                VectorLpNorm1_double/64                                         2.2         2.2    +0.44%  
bench_reductions                VectorLpNorm1_double/65536                                   2844.0      2824.5    -0.68%  
bench_reductions                VectorLpNorm1_float/1024                                       18.0        18.1    +0.67%  
bench_reductions                VectorLpNorm1_float/1048576                                 37134.4     37573.2    +1.18% ▲
bench_reductions                VectorLpNorm1_float/16384                                     374.5       376.3    +0.47%  
bench_reductions                VectorLpNorm1_float/256                                         4.4         4.4    +0.70%  
bench_reductions                VectorLpNorm1_float/262144                                   6997.6      6929.1    -0.98%  
bench_reductions                VectorLpNorm1_float/4096                                       78.1        78.7    +0.75%  
bench_reductions                VectorLpNorm1_float/64                                          1.5         1.5    +1.69% ▲
bench_reductions                VectorLpNorm1_float/65536                                    1451.3      1481.2    +2.06% ▲
bench_reductions                VectorLpNormInf_double/1024                                    30.9        31.7    +2.41% ▲
bench_reductions                VectorLpNormInf_double/1048576                              63801.8     76956.0   +20.62% ▲
bench_reductions                VectorLpNormInf_double/16384                                  645.0       667.2    +3.44% ▲
bench_reductions                VectorLpNormInf_double/256                                      7.8         7.9    +0.91%  
bench_reductions                VectorLpNormInf_double/262144                               16253.4     17368.8    +6.86% ▲
bench_reductions                VectorLpNormInf_double/4096                                   143.6       125.1   -12.90% ▼
bench_reductions                VectorLpNormInf_double/64                                       2.2         2.2    +0.66%  
bench_reductions                VectorLpNormInf_double/65536                                 2343.7      2612.6   +11.47% ▲
bench_reductions                VectorLpNormInf_float/1024                                     16.1        16.0    -0.82%  
bench_reductions                VectorLpNormInf_float/1048576                               36338.5     37060.4    +1.99% ▲
bench_reductions                VectorLpNormInf_float/16384                                   321.9       322.3    +0.12%  
bench_reductions                VectorLpNormInf_float/256                                       4.3         4.2    -0.88%  
bench_reductions                VectorLpNormInf_float/262144                                 6860.2      6380.0    -7.00% ▼
bench_reductions                VectorLpNormInf_float/4096                                     62.6        67.9    +8.41% ▲
bench_reductions                VectorLpNormInf_float/64                                        1.5         1.5    +0.77%  
bench_reductions                VectorLpNormInf_float/65536                                  1297.3      1304.9    +0.58%  
bench_reductions                VectorMaxCoeff_double/1024                                     32.1        32.1    -0.25%  
bench_reductions                VectorMaxCoeff_double/1048576                               66729.5     68938.2    +3.31% ▲
bench_reductions                VectorMaxCoeff_double/16384                                   635.6       634.3    -0.20%  
bench_reductions                VectorMaxCoeff_double/256                                       7.6         7.6    +0.59%  
bench_reductions                VectorMaxCoeff_double/262144                                16539.0     16565.6    +0.16%  
bench_reductions                VectorMaxCoeff_double/4096                                    141.8       142.5    +0.48%  
bench_reductions                VectorMaxCoeff_double/64                                        2.1         2.1    +0.57%  
bench_reductions                VectorMaxCoeff_double/65536                                  2214.0      2328.5    +5.17% ▲
bench_reductions                VectorMaxCoeff_float/1024                                      16.0        16.2    +0.83%  
bench_reductions                VectorMaxCoeff_float/1048576                                36554.6     37328.2    +2.12% ▲
bench_reductions                VectorMaxCoeff_float/16384                                    316.0       324.2    +2.60% ▲
bench_reductions                VectorMaxCoeff_float/256                                        4.1         4.1    +0.21%  
bench_reductions                VectorMaxCoeff_float/262144                                  6835.6      6504.2    -4.85% ▼
bench_reductions                VectorMaxCoeff_float/4096                                      69.0        71.4    +3.46% ▲
bench_reductions                VectorMaxCoeff_float/64                                         1.3         1.3    -0.11%  
bench_reductions                VectorMaxCoeff_float/65536                                   1251.9      1291.2    +3.14% ▲
bench_reductions                VectorMean_double/1024                                         32.5        33.6    +3.32% ▲
bench_reductions                VectorMean_double/1048576                                   64198.6     69515.6    +8.28% ▲
bench_reductions                VectorMean_double/16384                                       822.6       721.9   -12.25% ▼
bench_reductions                VectorMean_double/256                                           7.7         7.6    -0.08%  
bench_reductions                VectorMean_double/262144                                    16330.8     16702.5    +2.28% ▲
bench_reductions                VectorMean_double/4096                                        153.4       152.7    -0.51%  
bench_reductions                VectorMean_double/64                                            2.4         2.3    -0.59%  
bench_reductions                VectorMean_double/65536                                      2884.4      2848.8    -1.23% ▼
bench_reductions                VectorMean_float/1024                                          15.3        15.7    +2.11% ▲
bench_reductions                VectorMean_float/1048576                                    37580.7     37464.7    -0.31%  
bench_reductions                VectorMean_float/16384                                        377.4       383.0    +1.49% ▲
bench_reductions                VectorMean_float/256                                            4.2         4.2    +1.81% ▲
bench_reductions                VectorMean_float/262144                                      6896.7      6784.1    -1.63% ▼
bench_reductions                VectorMean_float/4096                                          72.2        72.5    +0.45%  
bench_reductions                VectorMean_float/64                                             1.6         1.6    +1.93% ▲
bench_reductions                VectorMean_float/65536                                       1524.5      1549.3    +1.62% ▲
bench_reductions                VectorMinCoeff_double/1024                                     32.1        32.2    +0.13%  
bench_reductions                VectorMinCoeff_double/1048576                               64193.1     67803.0    +5.62% ▲
bench_reductions                VectorMinCoeff_double/16384                                   636.1       627.6    -1.35% ▼
bench_reductions                VectorMinCoeff_double/256                                       7.7         7.7    -0.49%  
bench_reductions                VectorMinCoeff_double/262144                                16256.2     16575.8    +1.97% ▲
